Nr;x;y;xright;ylow;fob;lea;lbd;rea;rbd;hnc;vnc;lcw;rcw;ma
1;87;145;166;243;5232;9;10;9;10;3;1;4;4;36
2;87;145;166;243;5608;10;9;9;10;2;1;4;4;36
3;88;146;165;244;5232;10;9;10;9;3;1;4;4;36
4;89;145;167;243;5436;10;9;10;10;2;1;5;4;36
5;90;144;169;244;6027;10;9;9;9;2;1;4;4;37
6;90;143;170;246;5687;4;4;4;5;1;5;9;9;8
7;89;142;170;246;5673;4;4;4;4;1;5;10;9;9
8;88;141;172;246;5160;4;4;4;5;1;5;10;10;9
9;87;141;173;247;6047;4;4;4;4;1;5;9;9;8
10;88;142;174;248;6025;4;4;4;4;1;5;10;10;8
11;86;142;176;249;6450;9;10;8;10;3;1;4;4;37
12;87;142;176;248;5995;9;10;9;9;3;1;4;4;37
13;88;141;179;249;6013;10;9;10;10;3;1;4;5;37
14;89;140;178;249;5543;9;8;9;10;3;1;4;5;37
15;89;139;179;249;5709;9;10;10;9;2;1;4;4;37
16;88;138;179;248;26511;19;19;18;19;5;3;9;19;35
17;89;138;179;247;26528;18;19;19;18;5;3;9;19;37
18;90;138;181;245;12432;18;18;18;18;5;2;10;10;37
19;90;138;181;246;26284;18;18;18;18;5;2;9;9;37
20;91;139;182;247;26972;19;19;18;18;5;1;4;10;37
21;93;140;184;248;5971;9;9;10;9;3;1;4;4;37
22;94;138;186;249;6647;9;8;10;8;3;1;4;4;37
23;95;137;186;249;5808;10;9;9;10;2;1;5;4;37
24;95;135;185;249;5794;10;10;9;9;2;1;5;4;37
25;95;135;184;249;6071;9;9;9;9;3;1;4;4;37
26;95;136;187;250;12460;9;9;8;9;3;5;19;19;8
27;95;137;186;250;14806;9;19;9;19;5;5;20;20;9
28;95;137;187;251;13674;10;18;9;19;5;5;19;20;9
29;95;137;186;252;14486;10;19;10;19;5;5;20;19;9
30;95;137;188;251;14548;9;11;9;9;2;5;19;20;8
31;93;138;189;250;6413;9;9;9;8;2;1;5;4;38
32;93;137;190;249;6462;9;9;9;9;3;1;4;5;37
33;93;137;189;249;6741;9;9;9;9;2;1;5;5;37
34;92;137;191;248;6638;8;9;10;10;3;1;4;4;36
35;93;137;193;249;5953;9;10;9;9;2;1;5;4;37
36;94;136;192;248;14555;9;18;10;17;5;5;20;20;8
37;93;135;191;248;6623;8;19;10;18;5;5;20;20;8
38;92;136;192;247;28454;19;19;18;19;5;3;11;20;37
39;92;137;192;248;28570;19;18;19;18;5;3;10;19;37
40;91;137;193;250;27563;18;18;18;18;5;3;10;20;35
41;91;135;193;249;28834;18;18;18;18;5;2;10;20;37
42;91;136;195;249;28571;18;18;18;19;5;3;10;20;37
43;90;135;195;249;6671;9;10;9;10;3;1;5;5;37
44;89;135;195;249;6716;9;9;10;9;3;1;4;5;37
45;89;135;194;248;5879;4;4;4;4;1;5;10;10;9
46;90;137;195;247;7090;4;4;4;4;1;5;10;11;7
47;90;138;197;248;7273;4;4;4;4;1;5;9;9;8
48;91;140;197;247;6388;4;4;4;4;1;5;9;9;8
49;91;141;198;247;7061;10;9;9;9;2;1;4;5;37
50;90;141;200;245;6829;9;10;10;9;2;1;5;4;36
51;89;139;201;245;29108;18;18;18;18;5;2;10;20;36
52;90;139;200;244;28428;18;18;18;18;5;3;10;20;36
53;90;140;200;245;29400;9;9;10;9;2;1;5;4;17
54;91;140;199;244;28244;9;10;9;9;2;1;4;4;18
55;90;141;197;243;6731;10;9;10;9;3;1;5;4;36
56;88;142;199;242;6775;9;9;9;9;3;1;4;5;36
57;88;141;199;243;28769;9;9;9;8;3;1;5;5;19
58;88;141;200;243;29160;10;9;9;9;2;1;4;5;18
59;88;141;200;244;5909;9;10;10;9;3;1;4;4;36
60;87;140;203;245;7402;9;9;9;9;3;1;5;5;35
